Alef	3	0.5522388059701493
Ayin	3	0.5178571428571429
Bet	4	0.5074626865671642
Dalet	1	0.6666666666666666
Gimel	4	0.6078431372549019
He	4	0.4852941176470588
Het	2	0.6538461538461539
Kaf	2	0.6851851851851852
Kaf-final	2	0.6226415094339622
Lamed	4	0.39655172413793105
Mem	2	0.532258064516129
Nun-final	2	0.5384615384615384
Pe	3	0.6666666666666666
Qof	4	0.5740740740740741
Resh	1	0.6129032258064516
Samekh	2	0.5384615384615384
Shin	4	0.5263157894736842
Taw	3	0.6140350877192983
Waw	2	0.532258064516129
Yod	1	0.5066666666666667
