Alef	3	0.8461538461538461
Ayin	3	0.8660714285714286
Bet	2	0.7384615384615385
Dalet	3	0.8928571428571429
Gimel	3	0.8392857142857143
He	2	0.6870229007633588
Het	2	0.9017857142857143
Kaf	3	0.9107142857142857
Kaf-final	3	0.8482142857142857
Lamed	3	0.6936936936936937
Mem	3	0.8303571428571429
Nun-final	3	0.7767857142857143
Pe	3	0.8928571428571429
Qof	3	0.75
Resh	1	0.7767857142857143
Samekh	2	0.8571428571428571
Shin	1	0.8035714285714286
Taw	3	0.8558558558558559
Waw	3	0.6964285714285714
Yod	3	0.6204379562043796
