Alef	3	0.618421052631579
Ayin	3	0.7066666666666667
Bet	3	0.4473684210526316
Dalet	3	0.8133333333333334
Gimel	1	0.8133333333333334
He	1	0.5466666666666666
Het	3	0.7733333333333333
Kaf	3	0.7567567567567568
Kaf-final	3	0.6666666666666666
Lamed	3	0.5333333333333333
Mem	1	0.6216216216216216
Nun-final	1	0.6266666666666667
Pe	3	0.7733333333333333
Qof	2	0.6533333333333333
Resh	1	0.6266666666666667
Samekh	2	0.7432432432432432
Shin	2	0.6266666666666667
Taw	3	0.6986301369863014
Waw	3	0.52
Yod	2	0.4533333333333333
