Alef	3	0.618421052631579
Ayin	2	0.7066666666666667
Bet	2	0.4868421052631579
Dalet	1	0.7866666666666666
Gimel	2	0.7066666666666667
He	3	0.48
Het	3	0.7333333333333333
Kaf	3	0.8108108108108109
Kaf-final	1	0.6266666666666667
Lamed	2	0.5733333333333334
Mem	1	0.6351351351351351
Nun-final	1	0.6666666666666666
Pe	3	0.7066666666666667
Qof	1	0.6933333333333334
Resh	2	0.6266666666666667
Samekh	2	0.7567567567567568
Shin	3	0.6533333333333333
Taw	1	0.7671232876712328
Waw	1	0.6133333333333333
Yod	1	0.4533333333333333
